Date,Actual,Predicted,Difference
2023-03-02,23475.47,23540.99,-65.53
2023-03-03,22362.68,23579.20,-1216.52
2023-03-04,22353.35,23213.37,-860.02
2023-03-05,22435.51,22863.17,-427.66
2023-03-06,22429.76,22665.74,-235.98
2023-03-07,22219.77,22573.85,-354.08
2023-03-08,21718.08,22468.90,-750.82
2023-03-09,20363.02,22224.97,-1861.95
2023-03-10,20187.24,21565.27,-1378.02
2023-03-11,20632.41,20960.06,-327.65
2023-03-12,22163.95,20725.92,1438.03
2023-03-13,24197.53,21191.62,3005.91
2023-03-14,24746.07,22382.55,2363.53
2023-03-15,24375.96,23551.16,824.80
2023-03-16,25052.79,24189.20,863.59
2023-03-17,27423.93,24705.48,2718.45
2023-03-18,26965.88,25835.07,1130.81
2023-03-19,28038.68,26577.74,1460.93
2023-03-20,27767.24,27333.89,433.34
2023-03-21,28175.82,27735.64,440.18
2023-03-22,27307.44,28046.51,-739.07
2023-03-23,28333.97,27920.60,413.38
2023-03-24,27493.29,28080.17,-586.88
2023-03-25,27494.71,27961.98,-467.28
2023-03-26,27994.33,27810.22,184.12
2023-03-27,27139.89,27873.72,-733.83
2023-03-28,27268.13,27672.42,-404.29
2023-03-29,28348.44,27514.49,833.95
2023-03-30,28033.56,27798.84,234.73
2023-03-31,28478.48,27988.53,489.96
2023-04-01,28411.04,28242.04,169.00
2023-04-02,28199.31,28400.82,-201.51
2023-04-03,27790.22,28406.08,-615.86
2023-04-04,28168.09,28228.20,-60.11
2023-04-05,28177.98,28195.99,-18.00
2023-04-06,28044.14,28215.68,-171.54
2023-04-07,27925.86,28194.60,-268.73
2023-04-08,27947.79,28128.35,-180.56
2023-04-09,28333.05,28081.00,252.04
2023-04-10,29652.98,28189.26,1463.72
2023-04-11,30235.06,28761.28,1473.78
2023-04-12,30139.05,29456.87,682.18
2023-04-13,30399.07,29907.44,491.62
2023-04-14,30485.70,30228.60,257.11
2023-04-15,30318.50,30435.74,-117.24
2023-04-16,30315.36,30481.58,-166.23
2023-04-17,29445.04,30467.76,-1022.71
2023-04-18,30397.55,30136.72,260.83
2023-04-19,28822.68,30172.96,-1350.28
