Date,Actual,Predicted,Difference
2024-03-01,62440.63,56164.48,6276.16
2024-03-02,62029.85,58326.32,3703.53
2024-03-03,63167.37,60092.96,3074.41
2024-03-04,68330.41,61526.94,6803.47
2024-03-05,63801.20,63337.58,463.62
2024-03-06,66106.80,64313.52,1793.29
2024-03-07,66925.48,65020.31,1905.17
2024-03-08,68300.09,65536.88,2763.21
2024-03-09,68498.88,66047.30,2451.59
2024-03-10,69019.79,66469.84,2549.95
2024-03-11,72123.91,66836.54,5287.36
2024-03-12,71481.29,67596.85,3884.44
2024-03-13,73083.50,68330.10,4753.40
2024-03-14,71396.59,69193.08,2203.52
2024-03-15,69403.77,69692.90,-289.12
2024-03-16,65315.12,69568.68,-4253.56
2024-03-17,68390.62,68424.36,-33.73
2024-03-18,67548.59,67384.38,164.22
2024-03-19,61912.77,66391.60,-4478.83
2024-03-20,67913.67,64684.66,3229.02
2024-03-21,65491.39,63834.65,1656.74
2024-03-22,63778.76,63194.22,584.54
2024-03-23,64062.20,62547.52,1514.68
2024-03-24,67234.17,62077.24,5156.94
2024-03-25,69958.81,62303.31,7655.50
2024-03-26,69987.84,63347.15,6640.68
2024-03-27,69455.34,64738.84,4716.50
2024-03-28,70744.95,66066.89,4678.06
2024-03-29,69892.83,67377.66,2515.17
2024-03-30,69645.30,68322.88,1322.42
2024-03-31,71333.65,68857.26,2476.38
2024-04-01,69702.15,69324.60,377.55
2024-04-02,65446.97,69372.31,-3925.34
2024-04-03,65980.81,68455.64,-2474.82
2024-04-04,68508.84,67218.38,1290.47
2024-04-05,67837.64,66368.46,1469.18
2024-04-06,68896.11,65736.49,3159.62
2024-04-07,69362.55,65509.67,3852.88
2024-04-08,71631.36,65632.01,5999.35
2024-04-09,69139.02,66320.82,2818.20
2024-04-10,70587.88,66828.64,3759.24
2024-04-11,70060.61,67419.83,2640.78
2024-04-12,67195.87,67872.06,-676.19
2024-04-13,63821.47,67706.31,-3884.84
2024-04-14,65738.73,66670.26,-931.54
2024-04-15,63426.21,65614.62,-2188.41
2024-04-16,63811.86,64314.60,-502.73
2024-04-17,61276.69,63150.29,-1873.60
2024-04-18,63512.75,61847.01,1665.74
2024-04-19,63843.57,61039.24,2804.33
2024-04-20,64994.44,60694.24,4300.20
2024-04-21,64926.64,60876.32,4050.32
2024-04-22,66837.68,61350.27,5487.41
2024-04-23,66407.27,62252.12,4155.16
2024-04-24,64276.90,63211.31,1065.59
2024-04-25,64481.71,63733.40,748.31
2024-04-26,63755.32,63963.60,-208.29
2024-04-27,63419.14,63861.76,-442.62
2024-04-28,63113.23,63517.20,-403.97
2024-04-29,63841.12,63024.39,816.73
2024-04-30,60636.86,62626.65,-1989.79
2024-05-01,58254.01,61828.61,-3574.60
2024-05-02,59123.43,60566.60,-1443.16
2024-05-03,62889.84,59369.58,3520.26
2024-05-04,63891.47,58959.17,4932.30
2024-05-05,64031.13,59217.89,4813.24
2024-05-06,63161.95,59871.64,3290.31
2024-05-07,62334.82,60550.06,1784.76
2024-05-08,61187.94,61028.81,159.13
2024-05-09,63049.96,61146.92,1903.04
2024-05-10,60792.78,61330.51,-537.73
2024-05-11,60793.71,61153.11,-359.40
2024-05-12,61448.39,60801.18,647.21
