Tanggal,Actual,Predicted,Difference
2023-09-30,26967.9,26905.3,62.6
2023-10-01,27983.8,26968.7,1015.1
2023-10-02,27530.8,27519.2,11.6
2023-10-03,27430.0,27617.6,-187.6
2023-10-04,27799.4,27501.6,297.8
2023-10-05,27415.9,27608.6,-192.6
2023-10-06,27946.6,27499.0,447.6
2023-10-07,27968.8,27700.5,268.4
2023-10-08,27935.1,27869.7,65.4
2023-10-09,27583.7,27918.5,-334.8
2023-10-10,27391.0,27720.8,-329.8
2023-10-11,26873.3,27475.1,-601.8
2023-10-12,26756.8,27076.0,-319.2
2023-10-13,26862.4,26813.3,49.1
2023-10-14,26861.7,26789.4,72.3
2023-10-15,27159.7,26833.0,326.6
2023-10-16,28519.5,27028.3,1491.2
2023-10-17,28415.7,27887.9,527.8
2023-10-18,28328.3,28342.1,-13.8
2023-10-19,28719.8,28388.6,331.2
2023-10-20,29682.9,28531.2,1151.7
2023-10-21,29918.4,29144.6,773.8
2023-10-22,29993.9,29645.7,348.2
2023-10-23,33086.2,29878.5,3207.7
2023-10-24,33901.5,31641.4,2260.2
2023-10-25,34502.8,33165.4,1337.4
2023-10-26,34156.6,34075.1,81.5
2023-10-27,33909.8,34123.9,-214.1
2023-10-28,34089.6,33836.7,252.9
2023-10-29,34538.5,33769.5,768.9
2023-10-30,34502.4,34061.3,441.1
2023-10-31,34667.8,34253.3,414.4
2023-11-01,35437.3,34411.6,1025.6
2023-11-02,34938.2,34904.2,34.1
2023-11-03,34732.3,34895.0,-162.7
2023-11-04,35082.2,34678.0,404.2
2023-11-05,35049.4,34739.7,309.6
2023-11-06,35037.4,34812.7,224.6
2023-11-07,35443.6,34840.0,603.6
2023-11-08,35655.3,35071.7,583.5
2023-11-09,36693.1,35325.5,1367.7
2023-11-10,37314.0,36021.0,1293.0
2023-11-11,37138.1,36739.6,398.5
2023-11-12,37054.5,36933.3,121.2
2023-11-13,36502.4,36862.4,-360.0
2023-11-14,35537.6,36472.4,-934.7
2023-11-15,37880.6,35716.5,2164.1
2023-11-16,36154.8,36665.0,-510.2
2023-11-17,36596.7,36425.1,171.6
2023-11-18,36585.7,36343.8,241.9
2023-11-19,37386.5,36329.2,1057.4
2023-11-20,37477.0,36789.0,687.9
2023-11-21,35813.8,37120.9,-1307.1
2023-11-22,37432.3,36292.9,1139.4
2023-11-23,37289.6,36634.3,655.3
2023-11-24,37720.3,36927.1,793.2
2023-11-25,37796.8,37283.7,513.1
2023-11-26,37479.1,37484.5,-5.4
2023-11-27,37254.2,37350.3,-96.1
2023-11-28,37831.1,37104.2,726.9
2023-11-29,37858.5,37310.6,547.8
2023-11-30,37712.7,37504.3,208.5
2023-12-01,38688.8,37502.5,1186.3
2023-12-02,39476.3,38014.9,1461.5
2023-12-03,39978.4,38766.3,1212.1
2023-12-04,41980.1,39401.2,2578.9
2023-12-05,44080.6,40769.6,3311.0
2023-12-06,43746.4,42658.0,1088.5
2023-12-07,43292.7,43291.5,1.1
2023-12-08,44166.6,43048.1,1118.5
2023-12-09,43726.0,43308.4,417.6
2023-12-10,43779.7,43266.9,512.8
2023-12-11,41243.8,43254.2,-2010.3
2023-12-12,41450.2,41824.8,-374.6
2023-12-13,42890.7,41132.1,1758.6
2023-12-14,43024.0,41822.1,1201.9
2023-12-15,41929.8,42442.5,-512.7
2023-12-16,42240.1,42038.7,201.4
2023-12-17,41364.7,41851.5,-486.9
2023-12-18,42623.5,41310.3,1313.2
2023-12-19,42270.5,41748.5,522.0
2023-12-20,43652.2,41910.1,1742.1
2023-12-21,43869.2,42707.9,1161.2
2023-12-22,43997.9,43256.4,741.5
2023-12-23,43739.5,43492.3,247.3
2023-12-24,43016.1,43372.0,-355.9
2023-12-25,43613.1,42854.0,759.1
2023-12-26,42520.4,42925.7,-405.3
2023-12-27,43442.9,42447.7,995.1
2023-12-28,42627.9,42698.9,-71.0
2023-12-29,42099.4,42458.1,-358.7
2023-12-30,42156.9,41980.3,176.6
2023-12-31,42265.2,41773.3,491.9
2024-01-01,44167.3,41802.5,2364.8
2024-01-02,44958.0,42953.5,2004.5
2024-01-03,42848.2,44058.2,-1210.0
2024-01-04,44179.9,43252.0,927.9
2024-01-05,44162.7,43351.7,811.0
2024-01-06,43989.2,43541.5,447.7
2024-01-07,43943.1,43551.3,391.8
2024-01-08,46970.5,43501.0,3469.5
2024-01-09,46139.7,45224.5,915.3
2024-01-10,46627.8,45718.5,909.3
2024-01-11,46368.6,45976.3,392.3
2024-01-12,42853.2,45875.6,-3022.4
2024-01-13,42842.4,43764.0,-921.7
2024-01-14,41796.3,42595.6,-799.4
2024-01-15,42512.0,41717.4,794.6
2024-01-16,43154.9,41855.2,1299.8
2024-01-17,42742.7,42464.1,278.6
2024-01-18,41262.1,42539.9,-1277.8
2024-01-19,41618.4,41598.7,19.7
2024-01-20,41665.6,41229.5,436.0
2024-01-21,41545.8,41204.4,341.4
2024-01-22,39507.4,41198.0,-1690.6
2024-01-23,39845.6,40036.8,-191.2
2024-01-24,40077.1,39538.0,539.0
2024-01-25,39933.8,39593.6,340.2
2024-01-26,41816.9,39642.4,2174.5
2024-01-27,42120.1,40728.9,1391.1
2024-01-28,42035.6,41516.6,519.0
2024-01-29,43288.2,41710.2,1578.0
2024-01-30,42952.6,42375.7,576.9
2024-01-31,42582.6,42535.5,47.1
2024-02-01,43075.8,42304.5,771.3
2024-02-02,43185.9,42427.9,758.0
2024-02-03,42992.2,42617.8,374.4
2024-02-04,42583.6,42604.4,-20.8
2024-02-05,42658.7,42333.7,324.9
2024-02-06,43084.7,42225.9,858.8
2024-02-07,44318.2,42459.5,1858.7
2024-02-08,45301.6,43328.8,1972.8
2024-02-09,47147.2,44350.5,2796.7
2024-02-10,47771.3,45837.3,1934.0
2024-02-11,48293.9,46836.9,1457.0
2024-02-12,49958.2,47429.1,2529.1
2024-02-13,49742.4,48563.5,1179.0
2024-02-14,51826.7,48963.1,2863.6
2024-02-15,51938.6,50232.2,1706.4
2024-02-16,52160.2,50923.5,1236.7
2024-02-17,51663.0,51242.7,420.3
2024-02-18,52122.5,51008.9,1113.7
2024-02-19,51779.1,51133.8,645.3
2024-02-20,52284.9,51051.3,1233.5
2024-02-21,51839.2,51304.5,534.7
2024-02-22,51305.0,51200.6,104.4
2024-02-23,50731.9,50800.0,-68.0
2024-02-24,51571.1,50266.3,1304.8
2024-02-25,51733.2,50546.0,1187.3
2024-02-26,54522.4,50877.6,3644.8
2024-02-27,57085.4,52652.1,4433.3
2024-02-28,62504.8,55046.0,7458.8
2024-02-29,61198.4,59244.5,1953.9
2024-03-01,62440.6,60106.1,2334.5
2024-03-02,62029.8,60688.4,1341.4
2024-03-03,63167.4,60603.7,2563.7
2024-03-04,68330.4,61238.2,7092.2
2024-03-05,63801.2,64765.5,-964.3
2024-03-06,66106.8,63564.2,2542.6
2024-03-07,66925.5,64009.5,2916.0
2024-03-08,68300.1,64856.1,3444.0
2024-03-09,68498.9,66089.0,2409.9
2024-03-10,69019.8,66673.3,2346.5
2024-03-11,72123.9,67115.6,5008.3
