Tanggal,Actual,Predicted,Difference
2024-06-30,62678.3,61078.8,1599.5
2024-07-01,62852.0,61952.8,899.2
2024-07-02,62029.0,62738.3,-709.3
2024-07-03,60173.9,62733.2,-2559.3
2024-07-04,56977.7,61632.8,-4655.1
2024-07-05,56662.4,59259.1,-2596.7
2024-07-06,58303.5,57494.1,809.5
2024-07-07,55849.1,57478.9,-1629.7
2024-07-08,56705.1,56872.6,-167.5
2024-07-09,58009.2,56805.8,1203.4
2024-07-10,57742.5,57529.9,212.5
2024-07-11,57344.9,58022.3,-677.4
2024-07-12,57899.5,58030.0,-130.5
2024-07-13,59232.0,58136.2,1095.8
2024-07-14,60787.8,58808.2,1979.6
2024-07-15,64870.2,60030.5,4839.6
2024-07-16,65097.1,62736.5,2360.7
2024-07-17,64118.8,64645.5,-526.7
2024-07-18,63974.1,64934.1,-960.0
2024-07-19,66710.2,64531.1,2179.1
2024-07-20,67163.6,65385.5,1778.2
2024-07-21,68154.5,66372.5,1782.0
2024-07-22,67585.2,67400.8,184.5
2024-07-23,65927.7,67670.7,-1743.0
2024-07-24,65372.1,66825.0,-1452.8
2024-07-25,65777.2,65827.6,-50.3
2024-07-26,67912.1,65468.2,2443.9
2024-07-27,67813.3,66486.8,1326.5
2024-07-28,68255.9,67374.4,881.5
2024-07-29,66819.9,68027.8,-1207.9
2024-07-30,66201.0,67618.7,-1417.7
2024-07-31,64619.2,66820.4,-2201.2
2024-08-01,65357.5,65548.7,-191.2
2024-08-02,61415.1,65115.7,-3700.6
2024-08-03,60680.1,63289.2,-2609.1
2024-08-04,58117.0,61647.3,-3530.3
2024-08-05,53991.5,59663.2,-5671.7
2024-08-06,56034.3,56664.4,-630.1
2024-08-07,55027.5,55726.3,-698.9
2024-08-08,61710.1,55371.4,6338.7
2024-08-09,60880.1,58461.9,2418.2
2024-08-10,60945.8,60720.2,225.7
2024-08-11,58719.5,61697.2,-2977.7
2024-08-12,59354.5,60760.5,-1406.0
2024-08-13,60609.6,59970.1,639.5
2024-08-14,58737.3,60124.6,-1387.3
2024-08-15,57560.1,59590.3,-2030.2
2024-08-16,58894.1,58585.9,308.2
2024-08-17,59479.0,58532.9,946.1
2024-08-18,58484.0,59053.1,-569.2
2024-08-19,59493.5,59046.0,447.4
2024-08-20,59012.8,59369.4,-356.6
2024-08-21,61175.2,59407.2,1768.0
2024-08-22,60381.9,60342.8,39.1
2024-08-23,64094.4,60713.6,3380.8
2024-08-24,64179.0,62480.0,1699.0
2024-08-25,64333.5,63816.1,517.5
2024-08-26,62880.7,64449.8,-1569.1
2024-08-27,59504.1,63887.3,-4383.1
2024-08-28,59027.6,61671.1,-2643.4
2024-08-29,59388.2,59830.4,-442.2
2024-08-30,59119.5,59133.1,-13.7
2024-08-31,58969.9,58996.5,-26.6
2024-09-01,57325.5,59055.7,-1730.2
2024-09-02,59112.5,58418.4,694.1
2024-09-03,57431.0,58713.6,-1282.6
2024-09-04,57971.5,58359.3,-387.8
2024-09-05,56160.5,58239.6,-2079.1
2024-09-06,53948.8,57401.4,-3452.6
2024-09-07,54139.7,55742.3,-1602.6
2024-09-08,54841.6,54700.8,140.8
2024-09-09,57019.5,54631.6,2387.9
2024-09-10,57648.7,55887.9,1760.8
2024-09-11,57343.2,57240.0,103.2
2024-09-12,58127.0,57856.9,270.1
2024-09-13,60571.3,58310.7,2260.6
2024-09-14,60005.1,59603.9,401.3
2024-09-15,59182.8,60235.1,-1052.3
2024-09-16,58192.5,59986.4,-1793.9
2024-09-17,60308.5,59133.4,1175.1
2024-09-18,61649.7,59475.6,2174.0
2024-09-19,62940.5,60612.0,2328.5
2024-09-20,63193.0,62060.6,1132.4
2024-09-21,63394.8,63028.7,366.2
2024-09-22,63648.7,63489.5,159.2
2024-09-23,63329.8,63689.0,-359.2
2024-09-24,64302.0,63556.4,745.5
2024-09-25,63143.1,63854.2,-711.1
2024-09-26,65181.0,63580.4,1600.7
2024-09-27,65790.7,64251.2,1539.5
2024-09-28,65887.6,65153.7,733.9
2024-09-29,65635.3,65743.1,-107.8
2024-09-30,63329.5,65842.0,-2512.5
2024-10-01,60837.0,64672.3,-3835.3
2024-10-02,60632.8,62556.8,-1924.0
2024-10-03,60759.4,61099.8,-340.4
2024-10-04,62067.5,60591.0,1476.5
2024-10-05,62089.9,61232.5,857.5
2024-10-06,62819.0,61933.0,886.0
2024-10-07,62236.7,62681.1,-444.4
2024-10-08,62132.0,62806.7,-674.8
2024-10-09,60582.1,62634.3,-2052.2
2024-10-10,60274.5,61716.1,-1441.6
2024-10-11,62445.1,60873.7,1571.4
2024-10-12,63193.0,61454.0,1739.0
2024-10-13,62851.4,62515.4,336.0
2024-10-14,66046.1,63051.3,2994.8
2024-10-15,67041.1,64692.4,2348.7
2024-10-16,67612.7,66295.7,1317.0
2024-10-17,67399.8,67362.3,37.6
2024-10-18,68418.8,67633.9,784.8
2024-10-19,68362.7,68016.2,346.6
2024-10-20,69001.7,68193.0,808.7
2024-10-21,67367.9,68528.9,-1161.0
2024-10-22,67361.4,67970.3,-608.9
2024-10-23,66432.2,67448.4,-1016.2
2024-10-24,68161.1,66763.9,1397.2
2024-10-25,66642.4,67205.1,-562.7
2024-10-26,67014.7,67039.1,-24.4
2024-10-27,67929.3,66987.2,942.1
2024-10-28,69907.8,67430.8,2477.0
2024-10-29,72720.5,68744.3,3976.2
2024-10-30,72339.5,70999.6,1339.9
2024-10-31,70215.2,72203.2,-1988.0
2024-11-01,69482.5,71482.0,-1999.5
2024-11-02,69289.3,70227.8,-938.5
2024-11-03,68741.1,69325.6,-584.5
2024-11-04,67811.5,68711.4,-899.9
2024-11-05,69359.6,68059.3,1300.3
2024-11-06,75639.1,68483.7,7155.3
2024-11-07,75904.9,72039.6,3865.3
2024-11-08,76545.5,74817.1,1728.3
2024-11-09,76778.9,76309.2,469.7
2024-11-10,80474.2,76760.9,3713.3
2024-11-11,88701.5,78460.8,10240.7
2024-11-12,87955.8,83683.2,4272.6
2024-11-13,90584.2,86693.7,3890.5
2024-11-14,87250.4,88859.1,-1608.7
2024-11-15,91066.0,87886.8,3179.3
2024-11-16,90558.5,88532.9,2025.5
2024-11-17,89845.9,88957.9,888.0
2024-11-18,90542.6,88782.4,1760.3
2024-11-19,92343.8,88941.4,3402.4
2024-11-20,94339.5,90052.0,4287.5
2024-11-21,98504.7,91870.5,6634.2
2024-11-22,98997.7,95062.3,3935.4
2024-11-23,97777.3,97092.4,684.9
2024-11-24,98013.8,97072.9,940.9
2024-11-25,93102.3,96655.2,-3552.9
2024-11-26,91985.3,93806.0,-1820.6
2024-11-27,95962.5,91389.1,4573.4
2024-11-28,95652.5,92437.9,3214.6
2024-11-29,97461.5,93691.9,3769.6
2024-11-30,96449.1,95345.6,1103.4
2024-12-01,97279.8,95679.6,1600.2
2024-12-02,95865.3,95913.8,-48.5
2024-12-03,96002.2,95233.3,768.8
2024-12-04,98768.5,94754.0,4014.5
2024-12-05,96593.6,96010.9,582.6
2024-12-06,99920.7,95883.8,4036.9
2024-12-07,99923.3,97235.5,2687.9
2024-12-08,101236.0,98181.8,3054.2
2024-12-09,97432.7,99195.7,-1763.0
2024-12-10,96675.4,97652.8,-977.4
2024-12-11,101173.0,95956.9,5216.2
2024-12-12,100043.0,97468.0,2575.0
2024-12-13,101459.3,98359.1,3100.1
2024-12-14,101373.0,99389.2,1983.8
2024-12-15,104298.7,99834.9,4463.8
2024-12-16,106029.7,101402.8,4626.9
2024-12-17,106140.6,103231.3,2909.3
2024-12-18,100041.5,104147.0,-4105.5
2024-12-19,97491.0,101088.1,-3597.1
2024-12-20,97755.9,97503.5,252.4
2024-12-21,97224.7,95877.8,1346.9
2024-12-22,95104.9,95419.0,-314.0
2024-12-23,94686.2,94499.2,187.0
2024-12-24,98676.1,93826.8,4849.3
2024-12-25,99299.2,95663.1,3636.1
2024-12-26,95795.5,97443.7,-1648.2
2024-12-27,94164.9,96409.4,-2244.5
2024-12-28,95163.9,94395.5,768.4
2024-12-29,93530.2,93690.9,-160.6
2024-12-30,92643.2,92840.6,-197.4
2024-12-31,93429.2,91998.4,1430.8
